"OriginalName","SuggestedName","Rationale","Notes"
"Class239_Sub21","RemoveRoofsOptionState","Variant of Class239: 0/1 toggle gated by context flag (method3425)","Extends Class239; companion statics unrelated (string compare, terrain overlay shapes)"
"Class239_Sub22","SimpleBinaryOptionState","Variant of Class239: plain 0/1 stored toggle, no dependencies","Extends Class239; minimal companion (single Class114 cleanup)"
"Class239_Sub23","AntialiasOptionState","Variant of Class239: 0-2 gated by context flag and Sub25 setting","Extends Class239; reads aClass239_Sub25; companion loads Class143 sprite (unrelated)"
"Class239_Sub24","SceneryDetailOptionState","Variant of Class239: 0-2 from context mode + sibling Sub9","Extends Class239; companion has model labels, file read, debug hover (unrelated)"
"Class239_Sub25","DisplayModeOptionState","Variant of Class239: instance bools track ready/dirty; state 0-5 from device capability","Extends Class239; only sub with instance fields; read by many siblings; companion HSV palette/sync unrelated"
"Class239_Sub26","DetailLevelOptionState","Variant of Class239: state 0-127 (granular slider), plain stored value","Extends Class239; read by Sub10; companion statics unrelated (entity move lerp, radix parse)"
"Class239_Sub27","DefaultGraphicsOptionState","Variant of Class239: state from context mode==Class230 capability check","Extends Class239; companion holds Class341 + math static (unrelated)"
"Class239_Sub28","TwoStateOptionState","Variant of Class239: 0/1 toggle, no context dependency","Extends Class239; companion statics unrelated (interface bounds, Class46 component resize)"
"Class239_Sub29","MultiLevelOptionState","Variant of Class239: state clamped 0-4, plain stored value","Extends Class239; companion statics unrelated (char validation, scene state reset)"
"Class239_Sub3","ChatEffectsOptionState","Variant of Class239: rich state 0-3 combining Sub25/Sub8 siblings + bit flags","Extends Class239; central setting read widely; companion has Class352 font/loader cache (unrelated)"
"Class239_Sub4","LightingOptionState","Variant of Class239: 0/1 from context mode + capability flag","Extends Class239; companion holds sin/cos lookup tables (unrelated to instance)"
"Class239_Sub5","SimpleToggleOptionState","Variant of Class239: plain 0/1 toggle, no context reads","Extends Class239; companion statics unrelated (player skip-region init)"
"Class239_Sub6","BrightnessOptionState","Variant of Class239: state 0-3 from context brightness value (thresholds)","Extends Class239; companion holds base64 decode table (unrelated)"
"Class239_Sub7","IdleAnimationsOptionState","Variant of Class239: 0-2 gated by context flag + sibling Sub24","Extends Class239; reads aClass239_Sub24; no companion statics"
"Class239_Sub8","FlickeringEffectsOptionState","Variant of Class239: state 2/3 from context flag (method1456); read by Sub3","Extends Class239; companion has big sprite-list comparator/sort statics (unrelated)"
"Class239_Sub9","CustomCursorsOptionState","Variant of Class239: 0/1 from context mode, escalates via Sub16/Sub24/Sub18 siblings","Extends Class239; reads several sibling settings; companion minimal cleanup"
"Class24","ModelDataCache","Object holding Class60 cache + ByteArray[1000] + Class318_Sub1_Sub3 array for cached data","Kotlin object (all static); method298 reads display setting then submits packet"
"Class240","WorldMapRenderer","Instance impl of Interface1 holding Class339 (map source) + Class125 (widget); draws map labels via Class324 font","Implements Interface1 (method7/8/9); companion statics unrelated (tile-height scaling)"
"Class241","BufferPositionTracker","Abstract: get/set length+position longs, validate-and-set (bounds-checks length)","Abstract superclass; companion accesses Class348_Sub8.aClass241 singleton + Class351"
"Class241_Sub1","NanoTimerHighPrecision","Variant of Class241; overrides timing using Class62 nanosecond clock with smoothing","Extends Class241; nanosecond source + 10-sample averaging ring buffer"
"Class241_Sub2","NanoTimerJagex","Variant of Class241; timing via jagmisc nanoTime() with averaging","Extends Class241; imports jagex3 nanoTime, throws if zero"
"Class241_Sub3","NanoTimerSystem","Variant of Class241; timing via System.nanoTime() with averaging","Extends Class241; uses System.nanoTime and 10-sample smoothing"
"Class242","ManagedGlResource","Holds ha_Sub2 and long handle; finalize releases GL resource by id","Constructed with ha_Sub2 and long; finalizer calls method3769 to free"
"Class243","DoublyLinkedNodeList","Circular sentinel Class318 list with insert/iterate/clear methods","Sentinel node head; forward/backward traversal cursor"
"Class244","TextureMetadataProvider","Implements d; loads Class12 entries and Class348_Sub42_Sub5 pixel data from archives","Implements interface d; backed by Class45 archives and Class308 cache"
"Class245","DebugOverlayRenderer","Static debug HUD; only field is IntArray for occlusion vertex colors","object (singleton); draws dynamic/occluder stats to Class324 graphics"
"Class246","ParticleEmitterFactory","Abstract; method1888 produces Class348_Sub42_Sub8 particle from template","Abstract base; companion holds particle config arrays"
"Class246_Sub1","ScaledParticleEmitter","Variant of Class246; emits Class348_Sub42_Sub8_Sub1 scaled-particle instance","Extends Class246; overrides method1888 to wrap scaled particle"
"Class247","VideoAdChecker","Static; checks applet showingVideoAd state and color packing helpers","object (singleton); reflection into applet via Class224"
"Class248","MediaStreamClient","Manages Class202 socket with queued Class348_Sub42_Sub16_Sub1 chunks for streaming download","Multiple Class107 queues, Class348_Sub49 buffers, IOException handling, XOR decode"
"Class249",TileTransform,Core purpose is 4-way tile orientation math; Class21 ref tracks active camera context,"object (singleton); instance content minimal, mostly static"
"Class25",SpriteStore,"Loads and caches sprites; ""store"" captures both responsibilities better than ""cache""","Constructed with Class230/Class45; companion has unrelated color/sprite helpers"
"Class250","BackgroundWorkerThread","Implements Runnable; loops over Class279 array calling method2084 until stopped","Implements Runnable; volatile flags; companion has password-masking string util"
"Class251","ConfigFlagUtil","Instance only has throwing toString; all logic is static config helpers","Class with no real instance state; companion does Class46 visibility logic"
"Class252","SmoothingBuffer","Holds two IntArrays sized by anInt3241 for paired value buffers","Constructed with size int; companion has curve interpolation helper"
"Class253","CameraConfigDefinition","Parses Class348_Sub49 stream into camera/zoom-like int fields","readUnsignedShort/Byte decode of fields; companion has render+chat utils"
"Class254","EmoteDefinition","Parses Class348_Sub49 into char/string/int config fields","Fields incl. char, string, bool; method462 char decode; companion misc"
"Class255","ModelHeaderCache","Loads Class213 definitions from Class45, caches in Class60/Class175","Constructed with Class45 archives; method1932 builds Class105 models via ha"
"Class256","SpotAnimDefCache","Static loader of Class174 from Class45 into Class60 cache","object (singleton); resolves Class174 by id with archive read"
"Class257","RequestGate","Synchronized; queues Interface19 callbacks in Class262 until counter ready","object (singleton); aClass262_3297 holds pending Class348_Sub28 jobs"
"Class258","GlTexture","Abstract GL texture; glGenTextures, mipmap/filter params, bind via ha_Sub2","Abstract, implements Interface9; subclasses are texture dimensionalities"
"Class258_Sub1","GlTexture3D","Variant of Class258; 3D texture (target 32879) via glTexImage3D","Extends Class258; framebuffer3D attach, copyTexSubImage3D"
"Class258_Sub2","GlTextureCubeMap","Variant of Class258; cubemap (target 34067) with 6 faces","Extends Class258; framebuffer2D attach per face"
"Class258_Sub3","GlTexture2D","Variant of Class258; 2D texture (3553) with copy/sub-image upload","Extends Class258; open class, PixelGrabber/MediaTracker imports"
"Class258_Sub3_Sub1","GlTexture2DRegion","Variant of Class258_Sub3; adds width/height/UV-scale fields","Extends Class258_Sub3; tracks float coord scales and rectangle dims"
"Class258_Sub4","GlTexture1D","Variant of Class258; 1D texture (target 3552) via glTexImage1D","Extends Class258; wrap-mode helper; companion has palette arrays"
"Class259","KeyboardLayoutCache","Loads Class160 definitions from Class45 archive into Class60 cache","Constructed with Class45; companion has byte buffer + Class305"
"Class26","SpriteArchiveLoader","Loads Class348_Sub19_Sub1 images via Class317/Class348_Sub10 from Class45 archives","Two Class356 caches and two Class45 archives; index/hash lookup"
"Class260","WalkingTypeUtil","Static; movement-type predicate and Class293 array cleanup","object (singleton); Class45 + int arrays, minimal instance"
"Class261","NpcDefinitionCache","Loads Class225 definitions from Class45 archive into Class60 cache","Constructed with Class45; synchronized cache accessors"
"Class262",NodeDeque,Circular doubly-linked sentinel list with head/tail add and bidirectional iteration,"Sentinel aClass348_3334 head; companion has Canvas/object fields"
"Class263","SeqDefinitionCache","Loads Class51 definitions from Class45, multiple Class60 caches","Constructed with Class45 archives; several linked-list/cache members"
"Class264","CompassSmoother","Tracks angle toward target with acceleration for smooth rotation","anInt3370 current angle, anInt3365 velocity; masks to 0x3fff"
"Class265","SplashImageLoadable","Implements Interface1; loads/draws a Class105 splash image scaled to screen","Implements Interface1; Class120 + Class45 + Class105 image"
"Class266","ModelVertexNormal","Plain data holder of shorts/ints/byte, no methods","No superclass/interface; pure struct of geometry/color fields"
"Class267","SlotBinding","Holds Class69 key and Interface7 value with validation","Private ctor; validates Interface7.method32 matches Class69; singleton in companion"
"Class268","LocDefinitionCache","Loads Class277 definitions from Class45 archive into Class60 cache","Constructed with Class45; synchronized Class60 cache accessors"
"Class269","NormalMapGenerator","Builds Interface18 normal-map/terrain textures from procedural noise via ha_Sub3","Holds Interface18_Impl1/Impl3 arrays; sqrt-based normal computation"
"Class27","ProjectileConfigUtil","Static-only object; LOD scale selection and Class356/Class341 holders","object (singleton); no instance members"
"Class270",ArchiveFileConditionWrapper,Single instance field wrapping an ArchiveFileCondition,"Holds anInterface8_3463; companion has unrelated int array"
"Class271","ParticleEffectCache","Loads Class348_Sub42_Sub7 from Class45 archive into Class60 cache","Constructed with Class45; synchronized cache lookup"
"Class272","SocketFactory","Abstract; opens java.net.Socket to host/port; subclasses provide method2050","Abstract; host string + port int fields; companion has connection-mode util"
"Class272_Sub1","DirectSocketFactory","Variant of Class272 socket factory; opens direct connection ignoring proxy","Extends Class272; method2050 returns direct Socket via method2047"
"Class272_Sub2","ProxySocketFactory","Variant of Class272; selects system proxy, sends HTTP CONNECT/SOCKS","Extends Class272; uses ProxySelector, AuthenticationInfo; companion holds reflection Class refs"
"Class273","BoundsConstraintEntry","Implements Interface21; holds name string and int constraint","Implements Interface21; toString throws; companion has static collision/flag helpers"
"Class274","LocalizedText","Holds 4-element String array (EN/DE/FR/PT translations)","No super; method2063 indexes language; companion is huge static message table"
"Class275","CollisionMapAccessor","Static collision/flag map lookups via tile coordinates","object (singleton); operates on aa_Sub1 collision arrays; not an instance type"
"Class276","VorbisCommentHeader","Reads bit-packed header fields into int arrays from stream","No super; init parses bitstream; audio/ogg comment-like structure"
"Class277","LocTypeConfig","Reads object/loc definition fields from buffer (anim, ambient, model)","No super; method2069/2070 decode config opcodes; holds Class268 ref"
"Class278","BufferedMessageQueue","Holds three synchronized Class60 byte buffers for outgoing data","No super; synchronized method578/590; producer/consumer queues"
"Class279","SoundChannelMixer","Base audio output: timing loop, sample buffers, fills/writes audio","open class; subclasses override device write; uses Class348_Sub16 audio nodes"
"Class279_Sub1","JavaSoundOutput","Variant of Class279 writing to javax.sound SourceDataLine","Extends Class279; uses AudioSystem/SourceDataLine; companion caches SourceDataLine class"
"Class279_Sub2","NativeSoundOutput","Variant of Class279 delegating to native Interface20 audio device","Extends Class279; wraps Interface20 from Class297; companion holds shared device"
"Class28","ItemNameResolver","Implements Interface15; resolves display name string by component type","Implements Interface15 (method54 returns String); companion holds unrelated static caches"
"Class280","GroundDecorRenderer","Renders scene tile decorations/overlays via ha_Sub3 GL pipeline","No super; uses ha_Sub3, Interface5_Impl1/2 buffers, Class318_Sub9_Sub2 arrays"
"Class281","ClanChatRequestSender","Builds and sends clan-join packet with channel name string","object (singleton); writes packet via Class348_Sub47; also has hash helper"
"Class282","NpcEntityUpdater","Updates NPC/player on-screen markers each frame from scene queue","object (singleton); iterates Class348_Sub42_Sub18 list; not instance state"
"Class283","DataHolder","Holds int and string instance fields; purpose minimal","No super; instance has anInt3657/aString3663; companion has unrelated arrays/helpers"
"Class284","ViewportTransform","Holds many camera/viewport int fields with field equality check","No super; method2115 compares fields; companion has GL benchmark and offset tables"
"Class285","GlBufferObject","Abstract OpenGL VBO wrapper (glGenBuffersARB, bind, upload)","abstract, implements Interface5; NativeHeapBuffer, GL buffer id; subclasses pick target"
"Class285_Sub1","GlVertexBufferArb","Variant of Class285 using GL_ARRAY_BUFFER (34962) target","Extends Class285, implements Interface5_Impl1; vertex attribute buffer"
"Class285_Sub2","GlIndexBufferArb","Variant of Class285 using GL_ELEMENT_ARRAY_BUFFER (34963) target","Extends Class285, implements Interface5_Impl2; holds Class68 index format"
"Class286","MaterialPass","Abstract render/material pass applied through ha_Sub2 GL renderer","abstract; subclasses implement bind/draw via ha_Sub2; companion has unrelated decode helper"
"Class286_Sub1","ArbFogMaterialPass","Variant of Class286 using ARB fragment programs with fog params","Extends Class286; glBindProgramARB, glProgramLocalParameter4fARB; holds Class171 programs"
"Class286_Sub2","FixedFunctionMaterialPass","Variant of Class286; no-op fixed-function pass delegating to renderer","Extends Class286; only calls ha_Sub2 state toggles, no GL program"
"Class286_Sub3","WaterMaterialPass","Variant of Class286; animated ARB program with texture matrices","Extends Class286; glLoadMatrixf, glProgramLocalParameter, Class83 textures"
"Class286_Sub4","GlslMaterialPass","Variant of Class286 using GLSL shader objects with uniforms","Extends Class286; glUseProgramObjectARB, glUniform*ARB; holds Class337 program"
"Class286_Sub5","TexGenMaterialPass","Variant of Class286 generating texture coordinates via glTexGen","Extends Class286; glTexGenfv/glTexGeni, Class83 animated textures"
"Class286_Sub6","GlslEnvMaterialPass","Variant of Class286; GLSL shader pass with environment texture","Extends Class286; glUseProgramObjectARB, glUniform*ARB, Class337 program"
"Class286_Sub7","ScrollTexMaterialPass","Variant of Class286; scrolling texture-coordinate generation pass","Extends Class286; glTexGenfv, push/pop matrix, Class83 textures"
"Class286_Sub8","CubeMapMaterialPass","Variant of Class286; reflection/cube-map texgen fixed-function pass","Extends Class286; glTexGeni reflection mode (34066), Class61 helper"
"Class286_Sub9","SphereMapMaterialPass","Variant of Class286; sphere-map texgen with rotation pass","Extends Class286; glTexGeni sphere mode (34065), glRotatef, Class258_Sub2 textures"
"Class287","TypedRecordTable","Holds Interface12 array decoded by Class223 type from stream","No super; method2182 dispatches by type token; method2183 reads array"
"Class288","ParticleEmitterDef","Implements Interface12; holds Class221/Class341 refs and ints","Implements Interface12 (method51 returns Class223); base record type"
"Class288_Sub1","ParticleEmitterDefExt","Variant of Class288 adding one extra int field and different type tag","Extends Class288; method51 returns different Class223; companion has identity matrix"
"Class289","RegionSceneLoader","Loads region map/landscape data; computes player tile bounds","object (singleton); manages aByteArrayArrayArray map data, Class262 queue"
"Class29","ConfigIdPair","Holds an int value (anInt400) constructed with two ints","No super; minimal instance; toString throws; companion only counters"
"Class290","BufferToggleState","Holds two Interface5_Impl1 vertex buffers plus enable flags","No super; method2195 binds buffer; companion has unrelated frame-setup helper"
"Class291","CutsceneSequenceData","Parses keyframe sequence: frame counts, per-frame int arrays, Class316s","No super; method2200 decodes versioned stream into many int arrays"
"Class292","MapArchiveSource","Implements Interface7; reports size/type from underlying Class45","Implements Interface7 (method31 size, method32 returns Class69); wraps Class45 store"
"Class293","SceneLoaderThread","Implements Runnable; worker waiting on queue to load scene tiles","Implements Runnable; volatile flags, wait/notify, ha + Class315 task"
"Class294","LoadingBarRenderer","Implements Interface16; reflectively reads applet loading-bar images/fonts","Implements Interface16; holds Image/Font/Color fields; companion has unrelated player arrays"
"Class295","LocalizedTextTriple","Holds three localized String fields (constructor reorders them)","No super; instance is 3 strings; companion has player-model/hash static helpers"
"Class296","HuffmanCodec","Builds Huffman code tables, compresses/decompresses byte data via codewords","Standalone class; companion has unrelated static helpers"
"Class297","PrivilegedOperationWorker","Runnable thread executing privileged ops: sockets, reflection, clipboard, frames","Implements Runnable; dispatches numbered Class144 work items"
"Class298","PixelBlender","Static alpha-blends two ARGB pixels; tile pathfinding helper","object (singleton); companion-style static rendering/path methods"
"Class299","CircleRasterizer","Abstract base; companion draws filled circles into scanline arrays","abstract class; static method2255 rasterizes circles"
"Class299_Sub1","Texture2DProvider","Abstract Class299 variant producing Class258_Sub2 textures","extends Class299; abstract method2256 returns Class258_Sub2"
"Class299_Sub1_Sub1","CubemapTexture2DSource","Lazily builds six-face Class258_Sub2 cubemap texture from sprite ids","extends Class299_Sub1; uses ha_Sub2 graphics device"
"Class299_Sub1_Sub2","CubemapTextureGlSource","Extends Class299_Sub1; builds Class258_Sub2 cubemap (GL variant sibling of Sub1_Sub1)","extends Class299_Sub1; texture provider variant"
"Class299_Sub2","TextureCubeProvider","Abstract Class299 variant producing Interface18_Impl2 cube textures","extends Class299; abstract method2266 returns Interface18_Impl2"
"Class299_Sub2_Sub1","CubemapTextureImplSource","Lazily builds six-face cubemap via ha_Sub3 returning Interface18_Impl2","extends Class299_Sub2; uses ha_Sub3 graphics device"
"Class3","CacheStateResetter","object resetting many static client/cache references to null/-1","object (singleton); purely static teardown logic"
"Class30","CircleHitbox","Instance stores circle center/radius bounds; point-in-circle hit test","method321 does squared-distance containment test"
"Class300","ParticleConfigParser","Parses int fields from Class348_Sub49 buffer into instance config","companion factory builds Class124/Class348_Sub47"
"Class301","HeightMapNoise","object computing terrain height interpolation and Perlin-style noise","object (singleton); static height/noise math"
"Class302","MinimapPositionState","object tracking minimap/player position ints; rendering helpers","object (singleton); uses Player position and sprites"
"Class303","ProjectileDefinition","object parsing Class125 graphic/projectile defs from buffer","object (singleton); method2287 reads Class348_Sub49"
"Class304","TextureFormatInfo","Instance wraps single int; throws in toString","companion has byte-fill and texture helper statics"
"Class305","ParticleSystemRenderer","Instance manages Class72 array, sprite Class105, depth-sorted draw","method2292/2293 cull and render via ha graphics"
"Class306","WorldMapToggle","object creating ha renderer and sending chat/map packets","object (singleton); method2297 builds ha graphics"
"Class307","SkeletonSequenceLoader","object loading Class252 animation skeleton data from Class45 archive","object (singleton); reads frames from Class348_Sub49"
"Class308","CacheLruCache","Instance LRU-style cache of Class348_Sub42 via Class356 table and Class107 queue","method2302/2304 fetch/evict cached entries"
"Class309","ConfigVarProgress","Instance wraps config String implementing Interface7 progress query","implements Interface7; overrides method31/method32"
"Class31","ItemModelDefinition","Instance holds item def fields (name, model, colors) loading Class105 models","reads from Class348_Sub49; uses Class219 archive"
"Class310","D3DBaseTexture","Abstract DirectX texture base holding Class378 device, returns IDirect3DBaseTexture","abstract; subclasses are cube/2D/volume textures"
"Class310_Sub1","D3DCubeTexture","Class310 cube-texture variant wrapping IDirect3DCubeTexture","extends Class310, implements Interface18_Impl2"
"Class310_Sub2","D3DTexture2D","Class310 2D-texture variant wrapping IDirect3DTexture","extends Class310, implements Interface18_Impl3"
"Class310_Sub3","D3DVolumeTexture","Class310 volume-texture variant wrapping IDirect3DVolumeTexture","extends Class310, implements Interface18_Impl1"
"Class311","ResourceLoaderThread","Runnable worker loading queued Interface16 resources via Class56","implements Runnable; manages Interface16 request queue"
"Class312","WidgetRedrawTracker","Instance tracks Class348/Class262 widget for redraw dirty-state","constructor takes Class262; toggles Class348 linked node"
"Class313","SkyboxGradient","object holding Class223 gradient and float fog/sky params","object (singleton); sends Class348_Sub47 packets"
"Class314","ResourceProvider","Abstract provider: get bytes, Class291 metadata, load/state by id","abstract; subclass implements archive-backed loading"
"Class314_Sub1","ArchiveResourceProvider","Class314 impl loading bytes/Class291 from Class45/Class356 cache","extends Class314; uses Class137, Class248, Class356"
"Class315","CacheIndexManager","Instance keyed by name, manages Class318 hashtable entries via Class243","constructor takes String; method2362 returns Class318 nodes"
"Class316","IntHashSet","Instance open-addressed int hash set sized to power-of-two","method2365 lookups; companion has unrelated statics"
"Class317","AudioClipDefinition","Instance builds Class348_Sub19_Sub1 PCM sample from Class80 envelopes","private ctor from Class348_Sub49; companion factory method2372"
"Class318","SceneLinkedListNode","Instance doubly-linked list node with prev/next Class318 pointers","open base; method2373 unlinks node"
"Class318_Sub1","SceneEntity","Abstract scene node with x/y/plane; render/cull methods via ha graphics","extends Class318; many abstract render/Class30 hitbox methods"
"Class318_Sub10","SceneGraphContainer","Class318 node holding Class262, Class98, Class318_Sub9 entity array","extends Class318; manages Class129/Class342 scene graph"
"Class318_Sub1_Sub1","TileSceneEntity","Abstract Class318_Sub1 located on world tile grid via Class362 shift","extends Class318_Sub1; method2382 visibility from tile coords"
"Class318_Sub1_Sub1_Sub1","WallSceneEntity","Concrete tile entity rendering Class30 hitbox, implements Interface10","extends Class318_Sub1_Sub1, Interface10; uses Class235"
"Class318_Sub1_Sub1_Sub2","GroundDecorSceneEntity","Concrete tile entity with r model/Class64, implements Interface10","extends Class318_Sub1_Sub1, Interface10; builds Class2"
"Class318_Sub1_Sub2","SceneObjectEntity","Abstract Class318_Sub1 subclass: locatable entity with plane/x/y render and tile lookup","Variant family base; nested companion holds Class60/Class70 model data"
"Class318_Sub1_Sub2_Sub1","DynamicSceneObjectEntity","Concrete Class318_Sub1_Sub2 with id refs, angle via atan2, builds Class318_Sub4 model","Resolves models from Class255 cache; orients from surrounding tile heights"
"Class318_Sub1_Sub3","GroundDecorEntity","Abstract Class318_Sub1: short-coord tile-bound entity with occupancy flags in long grid","Variant family base; reads/writes Class348_Sub42_Sub8_Sub2 long collision arrays"
"Class318_Sub1_Sub3_Sub1","ModelGroundDecor","Concrete Class318_Sub1_Sub3 + Interface10; cached model via Class263, animated","Implements Interface10 tick/render; resolves model/anim from short id, Class51 config"
"Class318_Sub1_Sub3_Sub2","SequencedGroundDecor","Concrete Class318_Sub1_Sub3 + Interface10 driven by Class235 animation controller","Renders via Class235.method1668; holds Class318_Sub10 frame state"
"Class318_Sub1_Sub3_Sub3","ProjectedGroundDecor","Abstract Class318_Sub1_Sub3 with int/array vertex state for projected geometry","Many int arrays/angles; base for path/projectile-style decor"
"Class318_Sub1_Sub3_Sub4","MapElementDecor","Concrete Class318_Sub1_Sub3; resolves map element (Class319) by id, multi-tile span","Uses Class319 map-element def + scene tile arrays; toggleable"
"Class318_Sub1_Sub3_Sub5","TrackedGroundDecor","Concrete Class318_Sub1_Sub3_Sub3 with trig/distance tracking toward target coords","Extends projected variant; tracks via Class356 store, follows angle"
"Class318_Sub1_Sub4","ActorEntity","Abstract Class318_Sub1: actor-like entity with short coord, BigInteger, Class279","Variant family base; method2384 uses Class318_Sub9_Sub2 color array for selection"
"Class318_Sub1_Sub4_Sub1","NpcActorEntity","Concrete Class318_Sub1_Sub4 + Interface10; cached model via Class263, animated NPC","Implements Interface10; resolves model/anim by short id and Class51 config"
"Class318_Sub1_Sub4_Sub2","SequencedActorEntity","Concrete Class318_Sub1_Sub4 + Interface10 driven by Class235 animation controller","Renders via Class235.method1668; coords shifted >>9; Class318_Sub10 frame state"
"Class318_Sub1_Sub5","WallEntity","Abstract Class318_Sub1: wall-type entity with two shorts, Class144, Class110_Sub1","Variant family base; method2487 returns Class110_Sub1 (wall piece)"
"Class318_Sub1_Sub5_Sub1","ModelWallEntity","Concrete Class318_Sub1_Sub5 + Interface10; cached model via Class263, animated wall","Implements Interface10; resolves model/anim by short id, Class51 config"
"Class318_Sub1_Sub5_Sub2","SequencedWallEntity","Concrete Class318_Sub1_Sub5 + Interface10 driven by Class235 animation controller","Overrides full Class318_Sub1 abstract set; renders via Class235 anim"
"Class318_Sub2","SceneModelBuilder","Class318 subclass holding int buffer + Class147 array; builds/decodes models","method2497/2498 decode bytes into Class338 models; large build pipeline"
"Class318_Sub3","SceneOccluder","Small Class318 subclass: bounds ints + flag, visibility test method2500","Likely view/occlusion culling region descriptor"
"Class318_Sub4","SceneEntityModel","Class318 subclass bundling a Class318_Sub1 plus array of Class318_Sub3","Render bundle returned by entity method2386; pairs entity with occluders"
"Class318_Sub5","SceneTextLabel","Class318 subclass with String + several ints; positioned overhead text","method2505 lays out text; String field aString6416"
"Class318_Sub6","SceneEffectMarker","Class318 subclass referencing a Class318_Sub1_Sub3_Sub3 with color/float params","Holds shorts/float/int arrays; tied to projected decor effect"
"Class318_Sub7","SpotAnimEntity","Class318 subclass: animated spot/particle entity with Class129 def, Class284 vectors","Holds Class243 model, Class181, Class318_Sub10 frame; method2513 advances"
"Class318_Sub8","TileUnderlayShadow","Small Class318 subclass: tile coords + color short/byte arrays for shadow/blend","Stores ShortArray/ByteArray plus packed bytes; per-tile shading data"
"Class318_Sub9","SceneListNode","Open Class318 subclass with self-referential prev/next links (doubly linked)","Base linked-list node; method2514 unlinks node"
"Class318_Sub9_Sub1","NamedTimedNode","Class318_Sub9 with String + timestamp from Class62 clock","Variant of list node carrying name and creation time"
"Class318_Sub9_Sub2","PositionedSceneNode","Open Class318_Sub9 with x/y/z-style ints, byte flags; positioned list node","Variant of list node adding coords; companion color array"
"Class318_Sub9_Sub2_Sub1","ProjectileNode","Concrete Class318_Sub9_Sub2 owning a Class318_Sub7 spot anim; flight via sqrt","Variant: positioned node driving projectile; method2522 advances toward target"
"Class319","MapElementDefinitionCache","Class45 archive plus two Class60 caches loading Class368 records by id","Provider for Class368 map-element defs; double-cache, synchronized lookups"
"Class32","LongHashTable","Bucketed Class348_Sub42 linked-list hash table keyed by long","Chained hashtable with iterator state"
"Class320","TextureLoaderUtil","Object loading Class46 texture defs from Class229 archive","Pure singleton util; no instance fields"
"Class321","LocTypeDefinition","Parses many opcode fields (models, names, params) from buffer","Has Class356 params, model/recolor arrays, configs; config definition"
"Class322","ImageFrameCache","Holds 3D int-array image cache with Class262 LRU eviction","Caches IntArray frames; aBoolean4035 dirty flag"
"Class323","SystemFontGlyphs","Rasterizes AWT Helvetica glyphs into Class105 sprites","Builds 256-glyph sprite/width tables via PixelGrabber"
"Class324","Font","Abstract font with glyph layout, markup parsing, draw methods","Base for sw/gl font variants; abstract fa/method2578"
"Class324_Sub1","SoftwareFontPlain","Class324 variant drawing glyphs via ha_Sub1 pixel arrays","Software raster font; byte-mask glyph blitting"
"Class324_Sub2","GlFontTextured","Class324 variant rendering glyphs via ha_Sub3 GL textures","Hardware font atlas using Interface18_Impl3 texture, vertex buffer"
"Class324_Sub3","SoftwareFontPalette","Class324 variant blitting palette-indexed glyphs via ha_Sub1","Software font using anIntArray2697 palette lookup"
"Class324_Sub4","SoftwareFontAlpha","Class324 variant alpha-blending antialiased glyphs via ha_Sub1","Software font with per-pixel alpha masks"
"Class324_Sub5","GlFontDisplayList","Class324 variant drawing glyphs via ha_Sub2 GL display lists","Hardware font using Class61 lists and texgen"
"Class325","SpriteMaskShape","Per-instance shape index/size building alpha mask tables","Holds Class68 type and dimensions; generates triangular masks"
"Class326","EmoteDefCache","Class45 archive plus Class60 cache loading Class254 records","Simple id->Class254 provider with synchronized cache"
"Class327","FileIoUtil","Object with sleep and file-read-into-byte-array helpers","Pure util singleton; no instance state"
"Class328","ShaderObject","Base GL shader-program holder; subclasses are GL state tags","Companion compiles shaders (Class39); instance is empty marker"
"Class328_Sub1","ShaderState","Empty Class328 subclass acting as GL shader-state marker","Variant of Class328; only companion float array"
"Class328_Sub1_Sub1","ShaderStateVariant","Singleton Class328_Sub1 subclass holding a Class351 id","Leaf variant of ShaderState; object with packet class"
"Class328_Sub2","MaterialTypeMarker","Class328 subclass; companion loads Class120 from buffer","Variant of Class328; emitter/material category marker"
"Class328_Sub2_Sub1","MaterialTypeVariant","Singleton Class328_Sub2 subclass with long array","Leaf variant; holds aLongArray8800 only"
"Class328_Sub3","RenderQueueState","Singleton Class328 subclass holding Class229 and id buffer","Variant of Class328; global render/region state"
"Class329","PolygonFiller","Object rasterizing gradient/edge-filled polygons to pixel arrays","Stateful scanline fill engine; edge tables"
"Class33","CacheArchiveIndexLoader","Class45 archive plus Class60 cache loading Class117 records","Simple id->Class117 provider with synchronized cache"
"Class330","VideoStreamDecoder","ha_Sub3 plus s_Sub3 stream decoding frames into byte buffer","Holds Class97 frame grid; decodes per-region pixel data"
"Class331","CalendarUtil","Object with date int array and month-name string array","Pure singleton; date/time formatting helper"
"Class332","SoundCacheState","Object holding Class60 cache and array of sound objects (s)","Singleton sound/audio state holder"
"Class333","MapElementLookup","Instance wraps Class356 map returning Class348 entries","Has Class356 plus cached Class348; keyed accessor"
"Class334","CameraOrModelTransform","Instance int fields copied/cloned via method2648/method2649","Holds position/zoom (128 defaults); copyable transform"
"Class335","TimingCounters","Object holding only counter ints","Pure singleton state; no behavior of note"
"Class336","HslPaletteState","Object holding 256-entry short HSL palette array","Pure singleton color-palette holder"
"Class337","GlShaderProgramHandle","ha_Sub2 plus long GL handle freed in finalize","Native shader/program wrapper; finalize releases handle"
